Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,18.4201,9.8791,9.7656,0.1135,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,28.2992,17.4925,17.3450,0.1475,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,3.4555,15.0724,15.0724,0.0000,14.8671,10.2107,8.9390,1.2717,42.6776,16.6892,NA,3.4555,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,45.7917,19.5368,19.3508,0.1860,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,18.5279,10.1307,10.1307,0.0000,10.0054,10.9530,9.5315,1.4215,44.2944,16.6589,-1.6168,18.5279,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,65.3285,21.3490,21.1520,0.1970,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,28.6586,17.3094,17.3094,0.0000,13.0147,10.9595,9.2983,1.6612,50.8226,16.6455,-6.5282,28.6586,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,86.6775,21.0989,20.8862,0.2127,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,45.9680,19.6048,19.6048,0.0000,15.2268,11.3362,9.8259,1.5103,50.1587,16.7474,0.6639,45.9680,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,107.7764,22.6631,22.5078,0.1553,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,65.5728,21.3939,21.3939,0.0000,17.5419,10.1100,9.0675,1.0425,47.3013,33.2575,2.8574,65.5728,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,130.4395,21.4129,21.2611,0.1518,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,86.9667,20.9373,20.9373,0.0000,17.1361,9.6915,9.4157,0.2758,59.1649,16.6528,-11.8636,86.9667,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,151.8524,21.4713,21.3011,0.1702,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,107.9040,22.7279,22.7279,0.0000,19.0835,10.4827,9.6157,0.8670,54.8804,16.6820,4.2845,107.9040,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,173.3237,25.5014,25.3451,0.1563,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,130.6319,21.3765,21.3765,0.0000,17.4310,9.9815,9.1892,0.7923,48.8345,33.3195,6.0459,130.6319,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,198.8251,22.8913,22.7408,0.1505,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,152.0084,21.4299,21.4299,0.0000,18.5956,9.8708,9.8247,0.0461,60.7775,16.6568,-11.9430,152.0084,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,221.7164,19.4093,19.1945,0.2148,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,173.4383,25.6340,25.6340,0.0000,20.2423,12.4634,11.0620,1.4014,56.0044,16.6801,4.7731,173.4383,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,241.1257,25.0695,24.8862,0.1833,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,199.0723,22.8322,22.8322,0.0000,18.3768,10.1927,10.0912,0.1015,47.0505,33.3381,8.9539,199.0723,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,266.1952,21.3588,21.1912,0.1676,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,221.9045,19.4249,19.4249,0.0000,16.2783,11.4371,11.0967,0.3404,57.5564,16.6474,-10.5059,221.9045,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,287.5540,20.3112,20.1316,0.1796,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,241.3294,25.0648,25.0648,0.0000,19.3468,12.4055,11.1763,1.2292,54.7789,16.6620,2.7775,241.3294,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,307.8652,21.9066,21.6182,0.2884,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,266.3942,21.3340,21.3340,0.0000,17.3033,10.8301,10.7721,0.0580,46.3761,33.3282,8.4028,266.3942,NA,NA,NA
